"id","user_id","property_no","collection_mode","cluster_manager","manager","property_type","gender","near_university","rent","city_id","address","locality","sub_locality","city","state","pincode","country","name","latitute","longitute","slug","meta_title","meta_keywords","meta_description","status","sold_status","order_by","created_at","updated_at"
"64","584","PF013","PLACIO","645","1036","flagship","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","150 Kalyan Vihar opposite Laxmi Narayan Mandir, North Campus, New Delhi, Delhi, India","University Enclave","North Delhi","Delhi","110007","India","University Enclave","28.6919861","77.1956491","pg-placio-orchid-university-enclave-university-enclave-north-delhi","Placio Orchid -Pg for girls in Kalyan Vihar, Girls Pg in Kalyan Vihar North Campus new Delhi","Pg for girls in North Campus, Girls Pg in Kalyan Vihar New Delhi, PG in Kalyan Vihar, Girls Pg in Kalyan Vihar, Students Accommodation for girls in Kalyan Vihar, Accommodation for Grils fully furnished pg in kalyan Vihar North Campus","Book you fully furnished PG for girls in Kalyan Vihar, New Delhi with Food and Saftey assurance.","1","Filling Fast","5","2018-07-17 09:36:13",""
"65","584","PF023","PLACIO","645","1036","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","A 2668 Hudson Lane near DDA Market Delhi 110009","Vijay Nagar","North Delhi","Delhi","110009","India","Vijay Nagar","28.6914526","77.20243060000007","pg-placio-oasis-4-vijay-nagar-vijay-nagar-north-delhi","Placio Oasis 4 -Pg for girls in Hudson Lane, Girls Pg nearby Hudson Lane near DDA Market new Delhi","Pg for girls in  Hudson Lane, Girls Pg in Hudson Lane New Delhi, PG in Hudson Lane near DDA Market, Girls Pg in Hudson Lane, Students Accommodation for girls in Hudson Lane, Accommodation for Girls fully furnished pg in Hudson Lane near DDA Market","Book you fully furnished PG for girls in Hudson Lane, New Delhi with AC, Food and Saftey assurance.","1","","13","2018-07-09 14:40:53",""
"66","604","PF030","PLACIO","872","0","flagship","","10,12,13,14,15,16","","8","","Internal Road, Knowledge Park III, Greater Noida, Uttar Pradesh, India","Knowledge Park III","Greater Noida","Uttar Pradesh","201310","India","Internal Road","28.480162782620887","77.4935626264587","pg-placio-half-penny-residency-internal-road-knowledge-park-iii-greater-noida","Placio Half Penny Residency- Pg for Boys in Greater Noida, Boys PG nearby Knowledge Park Greater Noida ","Boys Pg in Greater Noida, Pg for Boys Greater Noida, Pg in greater Noida for Boys, Boys PG near Knowledge Park Greater noida, Boys Hoste near Knowledge Park greater Noida, Students Accommodation for Boys in Greater Noida","Book you fully furnished PG for Boys in Greater Noida near knowledge park. Placio brings boys pg in greater Noida near knowledge park. Placio Half Penny Residency Boys Pg with modern amenities like Ac, Table tennis, CCTV, Laundry, Fire Saftey, Biometris, Inhouse meals and many more ","1","","0","2018-07-21 14:15:58",""
"67","584","","","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","Vijay Nagar, Delhi, India","Vijay Nagar","North Delhi","Delhi","110009","India","Vijay Nagar","28.6914526","77.20243060000007","pg-placio-rose-vijay-nagar-vijay-nagar-north-delhi","","","","0","","0","2018-06-30 08:24:49",""
"68","584","PF025","RENTAL","645","656","flagship","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","H.No.44 B D Estate Timarpur Civil lines Delhi","University Enclave","North Delhi","Delhi","110007","India","University Enclave","28.6984367","77.2159433","pg-placio-jasmine-university-enclave-university-enclave-north-delhi","Placio Jasmine -Pg for girls in Timarpur  Civil lines, Girls Pg nearby Civil lines  new Delhi","Pg for girls in  Civil Lines, Girls Pg nearby Timarpur in Civil lines New Delhi, PG in Civil lines, Girls Pg in Civil lines, Students Accommodation for girls in Civil lines, Accommodation for Grils fully furnished pg in Civil Lines","Book your fully furnished PG for girls in Civil Lines, New Delhi with Food and Saftey assurance.","1","Filling Fast","1","2018-07-17 09:38:53",""
"69","584","PF024","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","5400/7, New Chandrawal Road, Jawahar Nagar, Kamla Nagar, Delhi, 110007, India","Kamla Nagar","North Delhi","Delhi","110007","India","5786/7, New Chandrawal Rd","28.678621","77.20624399999997","pg-placio-garima-pg-5786-7--new-chandrawal-rd-kamla-nagar-north-delhi","Garima PG -Pg for girls in Kamla Nagar, Girls Pg nearby New Chandrawal Road Kamla Nagar  new Delhi","Pg for girls in  Jawahar Nagar, Girls Pg nearby New Chandrawal Road in Kamla Nagar New Delhi, PG in Kamla Nagar, Girls Pg in Kamla Nagar, Students Accommodation for girls in Kamla Nagar, Accommodation for Girls fully furnished pg in Jawahar Nagar New Delhi","Book you fully furnished PG for girls in Kamla Nagar near New Chandrawal Road, New Delhi with Food and Saftey assurance.","1","Sold Out","20","2018-07-18 07:53:09",""
"70","604","PM012","RENTAL","58","1782","flagship","","6,7,8,9","","5","","Raipur Khadar, Sector 126, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201313","India","Raipur Khadar","28.54208342777244","77.33497853715664","pg-placio-castle-raipur-khadar-sector-126-noida","Placio Castle- PG in Noida, Fully Furnished boys Pg in sector 126 Noida,  Boys Hostel near Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","Pg for boys in Noida with AC and Food just few minutes walking distance from Amity University sector 126 noida  with safety and security.
","1","Almost Sold","14","2018-07-16 09:11:50",""
"72","604","PM002","PLACIO","611","1318","flagship","","6,7,8,9","","5","","Raipur Khadar Main, Raipur Khadar, Sector 126, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201313","India","Raipur Khadar Main Road","28.539878822866424","77.33747477738495","pg-placio-prestige-living-raipur-khadar-main-road-sector-126-noida","Placio Prestige Living- Fully Furnished boys Pg in sector 126 Noida, PG in Noida, Boys Hostel near Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","Pg for boys in Noida just 10 minutes walking distance from Amity University sector 126 noida  with safety and security.
","1","Filling Fast","13","2018-07-16 10:24:08",""
"73","604","PM021","PLACIO","58","1782","flagship","","6,7,8,9","","5","","Sector 126, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201313","India","Sector 126","28.54189134893698","77.33474896732446","pg-placio-yash-homes-sector-126-sector-126-noida","Placio Yash Homes- Fully Furnished boys Pg in sector 126 Noida, PG in Noida, Boys Hostel near Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","Pg for boys in Noida just 10 minutes walking distance from Amity University sector 126 noida  with safety and security.
","1","Sold Out","20","2018-07-16 09:18:02",""
"74","604","PM003","PLACIO","611","1318","flagship","","6,7,8,9","","5","","plot no. 16, Raipur Mandi, vill. Raipur khadar","Sector 126","Noida","Uttar Pradesh","201313","India","Raipur Khadar Main Road","28.539876466586808","77.33741576878663","pg-placio-prime-living-raipur-khadar-main-road-sector-126-noida","Placio Prime Living- Fully Furnished boys Pg in Noida sector 126, boys Hostel near Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","Fully furnished hostel for boys just 10 minutes walking distance from Amity University sector 126 noida  
","1","","9","2018-07-09 09:30:33",""
"75","604","PM009","PLACIO","512","81","revenue-sharing","","6,7,8,9","","5","","Raipur Khadar Main, Raipur Khadar, Sector 126, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201313","India","Raipur Khadar Main Road","28.541951150586705","77.33594390659039","pg-placio-the-nest-venus-2-raipur-khadar-main-road-sector-126-noida","Placio Admire 2 - PG in Noida, Fully Furnished boys Pg in Noida,  Boys Hostel nearby Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","fully furnished Pg in Noida for boys with AC and Food on just walking distance from Amity University sector 126 noida
","1","","17","2018-07-16 09:18:02",""
"76","584","PM023","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","E 107 Kamla Nagar, Near sparks mall Delhi -110007","Kamla Nagar","New Delhi","Delhi","110007","India","Kamla Nagar","28.6809111","77.20458669999994","pg-placio-oasis-1-kamla-nagar-kamla-nagar-new-delhi","Placio Oasis 1 -Pg for girls in Kamla Nagar, Girls Pg nearby sparks mall Kamla Nagar  new Delhi","Pg for girls in  Kamla Nagar, Girls Pg nearby Outram Lane in Kamla Nagar New Delhi, PG in Kamla Nagar, Girls Pg in Kamla Nagar, Students Accommodation for girls in Kamla Nagar, Accommodation for Girls fully furnished pg in Kamla Nagar","Book you fully furnished PG for girls in Kamla Nagar near sparks mall, New Delhi with Food and Saftey assurance.","1","","10","2018-07-09 14:30:07",""
"77","604","PMI05","RENTAL","1650","0","flagship","","25,26,27,28,29,30,31,32,33,34,35,36","","7","","Vijay Nagar, Indore, Madhya Pradesh, India","Vijay Nagar","Indore","Madhya Pradesh","452010","India","Vijay Nagar","22.7532848","75.89369620000002","pg-placio-wadhwani-vijay-nagar-vijay-nagar-indore","","","","0","","0","2018-07-11 09:17:04",""
"78","604","PFI03","RENTAL","1650","0","flagship","","25,26,27,28,29,30,31,32,33,34,35,36","","7","","Nayapura Main, Snehlataganj, Indore, Madhya Pradesh, India","Snehlataganj","Indore","Madhya Pradesh","452007","India","Nayapura Main Road","22.7241275","75.86521029999994","pg-placio-pride-nayapura-main-road-snehlataganj-indore","","","","0","","0","2018-07-11 09:16:51",""
"79","584","PM027","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","E 108 Kamla Nagar, Near sparks mall Delhi -110007","Kamla Nagar","North Delhi","Delhi","110007","India","","28.6827586","77.20621419999998","pg-placio-oasis-5--kamla-nagar-north-delhi","Placio Oasis 5 -Pg for boys in Kamla Nagar, boys Pg nearby sparks mall Kamla Nagar  new Delhi","Pg for boys in  Kamla Nagar, boys Pg nearby Outram Lane in Kamla Nagar New Delhi, PG in Kamla Nagar, boys Pg in Kamla Nagar, Students Accommodation for boys in Kamla Nagar, Accommodation for boys fully furnished pg in Kamla Nagar","Book you fully furnished PG for boys in Kamla Nagar near sparks mall, New Delhi with Food and Saftey assurance.","1","Almost Sold","14","2018-07-17 09:29:49",""
"80","604","PF027","PLACIO","645","656","flagship","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","Building 16 Hakkikat Nagar GTB Nagar Delhi","Kalyan Vihar","North Delhi","Delhi","110009","India","Old Gupta Colony","28.6798538","77.2000728","pg-placio-campus-pg-2-old-gupta-colony-kalyan-vihar-north-delhi","","","","0","","18","2018-07-03 14:04:32",""
"81","604","PF026","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","D26 Old Gupta Colony New Delhi, Delhi, India 110007","GTB Nagar","New Delhi","Delhi","110009","India","GTB Nagar Metro Rail Station","28.698384","77.20587999999998","pg-placio-campus-pg-1-gtb-nagar-metro-rail-station-gtb-nagar-new-delhi","","","","0","","17","2018-07-03 14:04:23",""
"82","604","PF015","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","10A-UA, Jawahar Nagar, Malkaganj Chowk, New Delhi","Kamla Nagar","North Delhi","Delhi","110007","India","Malka Ganj Road","28.678987320178134","77.20697331139218","pg-placio-nirmal-residency-malka-ganj-road-kamla-nagar-north-delhi","Placio Nirmal Residency -Pg for girls in Jawahar  Nagar, Girls Pg nearby Malkaganj Chowk New Delhi","Pg for girls in Jawahar  Nagar, Girls Pg nearby Malkaganj Chowk in Jawahar Nagar New Delhi, PG in Jawahar  Nagar, Girls Pg in Jawahar Nagar, Students Accommodation for girls in Jawahar Nagar, Accommodation for Grils fully furnished pg in Jawahar Nagar","Book you fully furnished PG for girls in Jawahar  Nagar near Malkaganj Chowk, New Delhi with Food and Saftey assurance.","1","","4","2018-07-09 13:15:01",""
"83","584","PM022","PLACIO","512","81","revenue-sharing","","6,7,8,9","","5","","Sector 126, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201313","India","Sector 126","28.54067552475972","77.33721794072267","pg-placio-admire-2-sector-126-sector-126-noida","Placio Admire 2 - PG in Noida, Fully Furnished boys Pg in Noida,  Boys Hostel nearby Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","fully furnished Pg for boys in Noida with AC and Food just few minutes walking distance from Amity University sector 126 noida
","1","","19","2018-07-16 09:18:03",""
