"id","property_id","block_name","floor_name","no_of_room"
"169","41","","First Floor","3"
"170","41","","Second Floor","3"
"171","41","","Third Floor","3"
"172","41","","Fourth Floor","3"
"173","41","","Lower Ground","3"
"174","37","","Sixth Floor","16"
"175","44","","Ground Floor","6"
"176","44","","First Floor","6"
"177","44","","Second Floor","6"
"178","44","","Third Floor","6"
"179","45","","First Floor","3"
"180","45","","Second Floor","3"
"181","45","","Third Floor","3"
"185","47","","Ground Floor","4"
"186","47","","First Floor","5"
"187","47","","Second Floor","5"
"188","47","","Third Floor","2"
"191","48","","First Floor","4"
"192","48","","Second Floor","4"
"193","48","","Third Floor","4"
"195","49","","First floor","7"
"196","49","","Second Floor","7"
"197","49","","Third Floor","7"
"198","49","","Fourth Floor","7"
"199","49","","Fifth Floor","7"
"200","50","","First floor","3"
"201","50","","Second Floor","3"
"202","50","","Third Floor","3"
"203","50","","Fourth Floor","3"
"204","51","","Ground Floor","5"
"205","51","","First Floor","6"
"206","51","","Second Floor","6"
"207","51","","Third Floor","6"
"208","51","","Forth Floor","6"
"209","52","","First Floor","4"
"210","52","","Second Floor","4"
"211","52","","Third Floor","4"
"212","52","","Forth Floor","4"
"213","53","","Ground Floor","6"
"214","53","","First Floor","5"
"215","53","","Second Floor","6"
"216","54","","First floor","6"
"217","54","","Second Floor","6"
"218","54","","Third Floor","6"
"219","54","","Fourth Floor","6"
"220","55","","First Floor","8"
"221","56","","First Floor","5"
"222","56","","Third Floor","4"
"223","57","","Upper Ground","7"
"224","57","","First Floor","7"
"225","57","","Second Floor","7"
"226","57","","Third Floor","7"
"227","58","","First Floor","4"
"228","58","","Second Floor","4"
"229","62","","Ground Floor","7"
"230","62","","First Floor","8"
"231","62","","Second Floor","8"
"232","62","","Fourth Floor","2"
"233","43","","First floor","11"
"234","43","","Third Floor","8"
"235","60","","First Floor","7"
"236","60","","Second Floor","7"
"237","60","","Third Floor","7"
"238","60","","Forth Floor","6"
"239","63","","Second Floor","6"
"240","63","","Third Floor","6"
"241","59","","Second Floor","3"
"242","59","","Third Floor","3"
"243","64","","Upper Ground","4"
"244","64","","First Floor","4"
"245","64","","Second Floor","4"
"246","64","","Third Floor","4"
"247","65","","Ground Floor","3"
"248","65","","First Floor","5"
"249","65","","Second Floor","5"
"250","67","","First Floor","4"
"251","67","","Second Floor","4"
"252","67","","Third Floor","4"
"253","66","","Lower Ground Floor","19"
"254","66","","Ground Floor","25"
"255","66","","First Floor","28"
"256","66","","Second Floor","28"
"257","68","","Ground Floor","5"
"258","68","","First Floor","7"
"259","68","","Second Floor","1"
"260","69","","First Floor","4"
"261","69","","Second Floor","4"
"262","69","","Third Floor","4"
"263","69","","Fourth Floor","4"
"264","70","","Ground Floor","1"
"265","70","","First floor","2"
"266","70","","Second Floor","2"
"272","14","","Ground Floor","4"
"273","14","","Fourth Floor","4"
"274","72","","First floor","15"
"275","72","","Second Floor","15"
"276","72","","Third Floor","15"
"277","72","","Fourth Floor","15"
"278","72","","Fifth Floor","15"
"279","73","","First Floor","3"
"280","73","","Second Floor","3"
"281","73","","Third Floor","3"
"282","74","","Ground Floor","9"
"283","74","","First floor","9"
"284","74","","Second Floor","9"
"285","74","","Third Floor","9"
"286","74","","Fourth Floor","9"
"287","74","","Fifth Floor","5"
"288","75","","Ground Floor","5"
"289","75","","First Floor","6"
"290","75","","Second Floor","6"
"291","75","","Third Floor","6"
"292","75","","Fourth Floor","6"
"293","76","","First Floor","8"
"294","76","","Second Floor","8"
"295","76","","Third Floor","8"
"296","76","","Fourth Floor","8"
"297","79","","First Floor","5"
"298","79","","Third Floor","4"
"299","81","","Ground Floor","6"
"300","81","","Second Floor","7"
"301","80","","Second Floor","8"
"302","80","","Third Floor","8"
"303","82","","First floor","4"
"304","82","","Second Floor","11"
"305","82","","Third Floor","6"
"306","82","","Fourth Floor","2"
"307","28","","GROUND FLOOR","3"
"308","28","","FIRST FLOOR","4"
"309","28","","SECOND FLOOR","4"
"310","78","","First floor","2"
"311","78","","Second Floor","11"
"312","78","","Third Floor","11"
