"id","user_id","pg_name","zone","micromarket","score","question_value","create_date"
"104","60","Nikunj PG","DU North Campus","Kamla Nagar","67.25","{""1"":""350"",""2"":""500"",""3"":""500"",""4"":""Yes"",""5"":""No"",""6"":""8000"",""7"":""8"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""70"",""25"":""90"",""26"":""77000""}","09-01-2018"
"105","60","Manmeet PG","DU North Campus","Kamla Nagar","60.75","{""1"":""150"",""2"":""800"",""3"":""600"",""4"":""Yes"",""5"":""Yes"",""6"":""8000"",""7"":""10"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""48"",""25"":""84"",""26"":""60000""}","09-01-2018"
"106","60","UCH Girls Hostel","DU North Campus","Kamla Nagar","","{""1"":""300"",""2"":""400"",""3"":""400"",""4"":""Yes"",""5"":""Yes"",""6"":""8000"",""7"":""8"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""44"",""25"":""96"",""26"":""70400""}","09-01-2018"
"107","60","HMS House","DU North Campus","Kamla Nagar","","{""1"":""10"",""2"":""600"",""3"":""600"",""4"":""Yes"",""5"":""No"",""6"":""8000"",""7"":""1"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""50"",""25"":""90"",""26"":""100000""}","09-01-2018"
"108","60","Fresher House","DU North Campus","Kamla Nagar","","{""1"":""400"",""2"":""600"",""3"":""600"",""4"":""Yes"",""5"":""No"",""6"":""8000"",""7"":""10"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""30"",""25"":""90"",""26"":""39000""}","09-01-2018"
"109","643","Unique house","delhi","laxminagar","72.75","{""1"":""0"",""2"":""20"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""1"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""98"",""25"":""30%"",""26"":""100000""}","11-01-2018"
"110","643","angel town","delhi3","laxminagar","63.5","{""1"":""0"",""2"":""10"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Select Option"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""Yes"",""24"":""60"",""25"":""0"",""26"":""72000""}","11-01-2018"
"111","601","Baljeet Sawhney","Khandwa Road","Khandwa Road","76.75","{""1"":""200"",""2"":""200"",""3"":""500"",""4"":""Yes"",""5"":""No"",""6"":""3000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""112"",""25"":""00"",""26"":""100000""}","08-02-2018"
"112","601","Baljeet Sawhney","Bhanwarkua square","bhanwarkua","","{""1"":""100"",""2"":""100"",""3"":""200"",""4"":""Yes"",""5"":""Yes"",""6"":""30000"",""7"":""00"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""100"",""25"":""00"",""26"":""100000""}","08-02-2018"
"113","601","Shyam Khatri","Bhanwarkua square","bhanwarkua","","{""1"":""500"",""2"":""500"",""3"":""800"",""4"":""Yes"",""5"":""Yes"",""6"":""30000"",""7"":""0"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""140"",""25"":""00"",""26"":""125000""}","08-02-2018"
"114","601","Shyam Batra-1","Bhanwarkua square","bhanwarkua","69.25","{""1"":""150"",""2"":""200"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""30000"",""7"":""2"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""44"",""25"":""40"",""26"":""40000""}","08-02-2018"
"115","601","Shyam Batra-2","Bhanwarkua square","bhanwarkua","","{""1"":""1000"",""2"":""500"",""3"":""1000"",""4"":""Yes"",""5"":""No"",""6"":""30000"",""7"":""00"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""95"",""25"":""00"",""26"":""100000""}","08-02-2018"
"116","601","Sagar Verma","Vijay Nagar","Vijay Nagar","","{""1"":""800"",""2"":""200"",""3"":""3000"",""4"":""Yes"",""5"":""Yes"",""6"":""3000"",""7"":""0"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""46"",""25"":""00"",""26"":""90000""}","08-02-2018"
"117","601","Jitendra Tiwari","Vijay Nagar","Vijay Nagar","72.25","{""1"":""500"",""2"":""500"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""20000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""36"",""25"":""00"",""26"":""40000""}","08-02-2018"
"118","601","Sharma Girls Hostel","Vijay Nagar","Vijay Nagar","","{""1"":""800"",""2"":""800"",""3"":""1000"",""4"":""Yes"",""5"":""No"",""6"":""20000"",""7"":""2"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""38"",""25"":""20"",""26"":""40000""}","08-02-2018"
"119","601","Jaora Compound","Jaora Compound","Jaora Compound","76.5","{""1"":""500"",""2"":""500"",""3"":""800"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""50"",""25"":""00"",""26"":""55000""}","08-02-2018"
"120","601","Ramakant Verma","Bhanwarkua square","bhanwarkua","72.5","{""1"":""800"",""2"":""800"",""3"":""800"",""4"":""Yes"",""5"":""Yes"",""6"":""30000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""72"",""25"":""00"",""26"":""72000""}","08-02-2018"
"121","601","Ram Babu","Bhanwarkua square","bhanwarkua","77.25","{""1"":""200"",""2"":""200"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""30000"",""7"":""2"",""8"":""Poor"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""70"",""25"":""100"",""26"":""80000""}","09-02-2018"
"122","601","Yogesh Agrawal","Vijay Nagar","Vijay Nagar","80.25","{""1"":""800"",""2"":""800"",""3"":""1000"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""80"",""25"":""00"",""26"":""95000""}","09-02-2018"
"123","601","Vindhyeshari","Vijay Nagar","Vijay Nagar","","{""1"":""800"",""2"":""800"",""3"":""3000"",""4"":""Yes"",""5"":""No"",""6"":""20000"",""7"":""0"",""8"":""Poor"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""48"",""25"":""00"",""26"":""60000""}","09-02-2018"
"124","601","Sunil Mendha","Bombay Hospital","Bombay Hospital","73.25","{""1"":""500"",""2"":""500"",""3"":""600"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""42"",""25"":""00"",""26"":""63000""}","22-02-2018"
"125","601","Juber Ahmed","JailRoad/Regal","Chikmanglur Sqare","","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""3000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""50"",""25"":""00"",""26"":""60000""}","26-02-2018"
"126","601","Amit Sethiya","Vijay Nagar","Vijay Nagar","72","{""1"":""500"",""2"":""500"",""3"":""500"",""4"":""Yes"",""5"":""Yes"",""6"":""3000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""40"",""25"":""00"",""26"":""48000""}","12-03-2018"
"127","601","Naveen Jain","Vijay Nagar","Vijay Nagar","74.25","{""1"":""400"",""2"":""400"",""3"":""1000"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""00"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""39"",""25"":""00"",""26"":""45000""}","12-04-2018"
"128","601","Malhar girls Hostel","Vijay Nagar","Vijay Nagar","77","{""1"":""400"",""2"":""400"",""3"":""1000"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""2"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""61"",""25"":""40"",""26"":""61000""}","21-04-2018"
"129","601","Rakesh Patil","Vijay Nagar","Vijay Nagar","","{""1"":""400"",""2"":""400"",""3"":""1000"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""00"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""68"",""25"":""00"",""26"":""68000""}","21-04-2018"
"130","601","Vipin Wadhwani","Vijay Nagar","Vijay Nagar","","{""1"":""400"",""2"":""400"",""3"":""1000"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""00"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""42"",""25"":""00"",""26"":""60000""}","21-04-2018"
