"id","user_id","cluster_manager_id","manager_id","property_id","block_id","floor_id","room_id","bed_id","tenant_id","booking_category","expected_date_move_in","stay_tenure","status","create_date","checkout_date","move_in_date"
"366","1080","953","1080","54","0","216","1178","2340","1300","instant-booking","","6","1","2018-06-26","","2018-06-26"
"367","1080","953","1080","54","0","216","1178","2339","1301","instant-booking","","12","1","2018-06-26","","2018-06-26"
"368","1080","953","1080","54","0","216","1179","2341","1289","instant-booking","","6","1","2018-06-26","",""
"369","1080","953","1080","54","0","216","1180","2343","1303","instant-booking","","8","1","2018-06-29","","2018-06-29"
"370","1080","953","1080","54","0","219","1197","2377","1304","instant-booking","","6","1","2018-07-22","","2018-07-22"
"371","648","647","648","35","0","148","829","1631","1305","pre-booking","2018-07-01","12","3","2018-06-26","",""
"372","651","651","0","50","0","203","1113","2158","1306","pre-booking","2018-07-15","11","0","2018-06-26","2018-07-20",""
"373","949","871","0","32","0","146","797","1615","1307","pre-booking","2018-06-27","3","0","2018-06-26","2018-07-02","2018-06-13"
"374","1314","512","75","7","0","26","236","433","78","pre-booking","2018-07-01","12","3","2018-06-26","",""
"375","512","512","75","7","0","26","236","434","402","pre-booking","2018-07-01","12","3","2018-06-26","",""
"376","58","58","0","40","0","164","912","1872","1309","instant-booking","","12","1","2018-06-26","","2018-07-20"
"377","58","58","0","3","0","9","85","170","1310","","","12","0","2018-06-26","2018-07-03","2018-07-04"
"378","61","58","0","3","0","9","85","172","1310","pre-booking","2018-07-09","12","3","2018-07-03","",""
"379","642","651","0","50","0","201","1107","2146","1311","pre-booking","2018-07-15","11","1","2018-07-20","","2018-07-20"
"380","512","512","81","11","0","46","373","716","1312","instant-booking","","12","1","2018-06-27","","2018-06-27"
"381","647","647","648","47","0","185","1016","2053","1313","pre-booking","2018-07-05","12","0","2018-06-27","2018-07-11",""
"382","1788","647","648","47","0","185","1016","2052","1090","instant-booking","","12","0","2018-07-19","2018-07-19","2018-07-19"
"383","1788","647","648","47","0","185","1015","2050","1316","instant-booking","","12","1","2018-07-18","","2018-07-18"
"384","1788","647","648","47","0","185","1015","2051","1317","instant-booking","","12","1","2018-07-18","","2018-07-18"
"385","1788","647","648","47","0","187","1025","2070","904","instant-booking","","12","1","2018-07-18","","2018-07-18"
"386","1788","647","648","47","0","187","1026","2072","1319","pre-booking","2018-07-02","12","3","2018-07-22","","2018-07-02"
"387","611","611","1318","72","0","277","1618","2989","127","instant-booking","","12","1","2018-06-27","","2018-07-01"
"388","611","611","1318","74","0","284","1662","3306","452","instant-booking","","12","1","2018-06-27","","2018-07-01"
"389","611","611","1318","74","0","285","1672","3328","454","instant-booking","","12","1","2018-06-27","","2018-07-01"
"390","647","647","648","35","0","148","830","1636","1322","pre-booking","2018-05-28","12","0","2018-06-27","2018-07-10",""
"391","611","611","1318","74","0","286","1681","3347","459","instant-booking","","12","1","2018-06-27","","2018-07-01"
"392","611","611","1318","74","0","287","1689","3362","463","instant-booking","","12","1","2018-06-27","","2018-07-01"
"393","1177","58","0","3","0","8","76","153","1324","instant-booking","","12","1","2018-06-27","","2018-06-27"
"394","647","647","648","35","0","148","830","1635","1325","pre-booking","2018-06-28","12","0","2018-06-27","2018-07-10",""
"395","1177","58","0","3","0","8","76","151","1323","instant-booking","","12","1","2018-06-27","","2018-06-27"
"396","1177","58","0","33","0","137","765","1552","1321","instant-booking","","12","1","2018-06-27","","2018-06-27"
"397","1177","58","0","73","0","279","1634","3251","1320","instant-booking","","12","1","2018-06-27","","2018-06-27"
"398","647","647","648","35","0","148","830","1634","1326","pre-booking","2018-06-28","12","0","2018-06-27","2018-07-10",""
"399","647","647","648","28","0","308","1853","3712","1327","pre-booking","2018-06-28","12","3","2018-06-27","",""
"400","647","647","648","28","0","308","1853","3713","1329","pre-booking","2018-06-28","12","3","2018-06-27","",""
"401","1080","953","1080","54","0","218","1193","2369","1330","instant-booking","","4","1","2018-06-27","","2018-06-27"
"402","512","512","0","13","0","58","448","868","1331","pre-booking","2018-07-01","12","3","2018-06-27","",""
"403","61","512","0","13","0","59","455","882","231","instant-booking","","12","1","2018-06-27","","2018-07-09"
"404","61","512","0","13","0","57","445","862","237","instant-booking","","12","1","2018-06-27","","2018-07-09"
"405","512","512","3","1","0","1","2","3","141","pre-booking","2018-07-05","12","0","2018-06-28","2018-06-28",""
"406","1","512","3","1","0","1","2","3","141","pre-booking","2018-07-05","12","0","2018-06-28","2018-06-28",""
"407","1177","512","3","1","0","1","2","3","141","pre-booking","2018-07-05","12","3","2018-06-28","",""
"408","1177","512","75","7","0","28","251","464","29","instant-booking","","12","1","2018-06-28","","2018-06-28"
"409","1177","512","75","7","0","29","255","471","919","","","12","3","2018-06-28","",""
"410","953","953","0","43","0","234","1274","2507","1332","pre-booking","2018-07-20","11","3","2018-06-28","",""
"411","1","512","75","7","0","29","257","475","1333","pre-booking","","12","3","2018-06-28","",""
"412","1177","512","75","7","0","28","251","463","170","instant-booking","","12","1","2018-06-28","","2018-06-28"
"413","1177","512","75","7","0","28","250","461","21","instant-booking","","12","1","2018-06-28","","2018-06-28"
"414","949","512","75","7","0","26","238","438","325","pre-booking","","12","3","2018-06-28","",""
"415","645","645","656","64","0","245","1361","2714","1244","pre-booking","","11","0","2018-07-04","2018-07-04",""
"416","512","512","0","75","0","289","1719","3399","1337","pre-booking","2018-07-24","12","0","2018-06-28","2018-06-30",""
"417","1177","512","75","7","0","28","250","462","917","instant-booking","","12","1","2018-06-28","","2018-06-28"
"418","645","645","656","64","0","244","1359","2708","1338","instant-booking","2018-07-18","11","0","2018-07-04","2018-07-04","2018-07-04"
"419","645","645","656","64","0","244","1359","2709","1339","instant-booking","","11","0","2018-06-29","2018-07-04","2018-06-29"
"420","656","645","656","64","0","244","1356","2699","1040","pre-booking","","11","0","2018-06-28","2018-07-04",""
"421","1080","953","1080","54","0","217","1187","2357","1340","instant-booking","","6","1","2018-06-28","","2018-06-10"
"422","1314","58","0","33","0","137","767","1556","1026","pre-booking","","12","3","2018-06-28","",""
"423","656","645","656","64","0","244","1357","2702","1341","pre-booking","","11","0","2018-06-28","2018-07-04",""
"424","642","651","0","22","0","88","956","2012","1286","instant-booking","","11","1","2018-07-04","","2018-07-04"
"425","642","651","0","22","0","88","955","2011","1343","instant-booking","","11","1","2018-07-04","","2018-07-04"
"426","642","651","0","22","0","89","553","1115","1345","instant-booking","","11","0","2018-07-04","2018-07-14","2018-07-04"
"427","642","651","0","22","0","89","553","4112","1347","instant-booking","","11","0","2018-07-04","2018-07-14","2018-07-04"
"428","651","651","0","22","0","88","954","2008","1348","instant-booking","","2","0","2018-06-28","2018-07-02","2018-06-28"
"429","651","651","0","22","0","89","552","1113","1335","instant-booking","","2","0","2018-06-28","2018-07-21","2018-06-28"
"430","642","651","0","22","0","88","952","2004","1351","instant-booking","","11","0","2018-07-04","2018-07-23","2018-07-04"
"431","642","651","0","22","0","88","952","2005","1352","instant-booking","","11","0","2018-07-04","2018-07-23","2018-07-04"
"432","656","645","656","53","0","213","1164","2291","1349","instant-booking","","6","1","2018-06-28","","2018-07-08"
"433","642","651","0","22","0","89","554","1116","1353","instant-booking","","11","0","2018-07-04","2018-07-15","2018-07-04"
"434","651","651","0","22","0","89","549","1108","1081","pre-booking","","11","1","2018-06-28","","2018-06-29"
"435","651","651","0","22","0","90","577","1133","1287","","","11","3","2018-06-28","",""
"436","645","645","656","65","0","248","1372","2746","1355","instant-booking","","11","0","2018-07-06","2018-07-06","2018-07-06"
"437","645","645","656","69","0","261","1409","2805","1356","instant-booking","","12","1","2018-07-14","","2018-07-14"
"438","645","645","656","53","0","213","1159","2279","1360","pre-booking","2018-07-18","12","0","2018-07-14","2018-07-15",""
"439","1273","645","765","76","0","293","1738","3439","1361","instant-booking","","11","1","2018-07-19","","2018-07-19"
"440","656","645","765","76","0","294","1746","3456","1363","","","11","3","2018-06-28","",""
"441","645","645","765","76","0","293","1741","3446","1365","","","11","3","2018-06-28","",""
"442","647","647","648","28","0","309","1855","3717","1366","instant-booking","","12","1","2018-06-29","","2018-06-29"
"443","1177","58","0","40","0","165","917","1882","1368","instant-booking","","12","1","2018-06-29","","2018-06-29"
"444","1177","58","0","40","0","165","914","1876","1369","instant-booking","","12","1","2018-06-29","","2018-06-29"
