"id","property_id","user_id","page_name","updated_date"
"1154","65","1177","detail","2018-07-04 18:33:51"
"1155","79","1177","detail","2018-07-04 18:34:30"
"1156","85","1","detail","2018-07-05 17:35:31"
"1157","64","1314","bed","2018-07-05 17:41:58"
"1158","64","1314","bed","2018-07-05 17:42:24"
"1159","85","1","localtity","2018-07-05 19:36:10"
"1160","82","645","detail","2018-07-06 11:40:47"
"1161","82","645","floor","2018-07-06 11:40:52"
"1162","82","645","room","2018-07-06 11:40:57"
"1163","82","645","bed","2018-07-06 11:41:09"
"1164","82","645","gallery","2018-07-06 11:42:01"
"1165","82","645","amenities","2018-07-06 11:42:11"
"1166","65","645","floor","2018-07-06 11:45:11"
"1167","65","645","room","2018-07-06 11:51:08"
"1168","65","645","room","2018-07-06 11:52:57"
"1169","65","645","room","2018-07-06 12:13:57"
"1170","65","645","bed","2018-07-06 12:38:48"
"1171","64","645","bed","2018-07-06 12:55:46"
"1172","64","645","bed","2018-07-06 12:58:41"
"1173","64","645","bed","2018-07-06 13:00:47"
"1174","64","645","bed","2018-07-06 13:09:52"
"1175","37","604","gallery","2018-07-06 14:43:19"
"1176","36","949","detail","2018-07-06 18:33:00"
"1177","37","949","detail","2018-07-06 18:34:47"
"1178","32","949","detail","2018-07-06 18:35:16"
"1179","60","604","detail","2018-07-06 18:37:04"
"1180","65","645","bed","2018-07-07 12:07:51"
"1181","26","604","detail","2018-07-07 13:00:10"
"1182","60","720","localtity","2018-07-07 16:09:39"
"1183","60","720","detail","2018-07-07 16:09:44"
"1184","60","720","floor","2018-07-07 16:09:54"
"1185","60","720","room","2018-07-07 16:10:04"
"1186","60","720","bed","2018-07-07 16:10:35"
"1187","60","720","gallery","2018-07-07 16:10:52"
"1188","60","720","amenities","2018-07-07 16:11:00"
"1189","60","720","bed","2018-07-07 17:10:15"
"1190","60","720","bed","2018-07-07 17:13:19"
"1191","60","720","bed","2018-07-07 17:14:19"
"1192","60","720","room","2018-07-07 17:16:08"
"1193","60","720","bed","2018-07-07 17:17:14"
"1194","60","720","gallery","2018-07-07 17:17:24"
"1195","60","949","bed","2018-07-07 18:22:17"
"1196","64","645","detail","2018-07-08 13:00:06"
"1197","65","645","detail","2018-07-08 13:01:30"
"1198","65","645","floor","2018-07-08 13:01:36"
"1199","44","645","detail","2018-07-08 13:04:58"
"1200","13","61","detail","2018-07-09 11:12:43"
"1201","37","1273","detail","2018-07-09 13:19:46"
"1202","36","1","detail","2018-07-09 14:42:31"
"1203","72","61","bed","2018-07-09 17:33:36"
"1204","48","604","localtity","2018-07-09 17:55:34"
"1205","85","604","localtity","2018-07-10 13:50:26"
"1206","85","604","detail","2018-07-10 13:50:49"
"1207","85","604","amenities","2018-07-10 13:51:10"
"1208","85","604","gallery","2018-07-10 13:51:20"
"1209","53","604","detail","2018-07-10 14:39:07"
"1210","64","645","bed","2018-07-10 15:45:36"
"1211","31","604","localtity","2018-07-10 16:14:55"
"1212","31","604","localtity","2018-07-10 16:23:26"
"1213","35","604","localtity","2018-07-10 19:22:46"
"1214","32","604","gallery","2018-07-10 20:33:06"
"1215","54","604","localtity","2018-07-11 11:58:23"
"1216","49","604","gallery","2018-07-11 12:07:54"
"1217","79","645","bed","2018-07-11 12:08:31"
"1218","49","604","gallery","2018-07-11 12:09:06"
"1219","79","645","bed","2018-07-11 12:11:59"
"1220","26","949","detail","2018-07-11 12:28:41"
"1221","31","949","detail","2018-07-11 12:31:28"
"1222","35","949","detail","2018-07-11 12:32:04"
"1223","29","949","detail","2018-07-11 12:32:48"
"1224","47","949","detail","2018-07-11 12:33:41"
"1225","78","1","detail","2018-07-11 12:46:51"
"1226","28","1","detail","2018-07-11 12:46:58"
"1227","77","1","detail","2018-07-11 12:47:04"
"1228","85","645","bed","2018-07-11 13:28:27"
"1229","49","642","floor","2018-07-11 17:11:11"
"1230","49","642","room","2018-07-11 17:15:11"
"1231","49","642","bed","2018-07-11 17:16:31"
"1232","49","642","bed","2018-07-11 17:22:10"
"1233","49","642","bed","2018-07-11 17:26:23"
"1234","75","1","detail","2018-07-11 19:30:32"
"1235","16","1","detail","2018-07-11 19:30:51"
"1236","76","604","detail","2018-07-12 10:39:34"
"1237","64","645","bed","2018-07-12 12:33:00"
"1238","85","645","bed","2018-07-12 12:35:46"
"1239","52","816","bed","2018-07-12 12:39:38"
"1240","52","816","bed","2018-07-12 12:41:09"
"1241","52","816","bed","2018-07-12 12:41:58"
"1242","85","645","bed","2018-07-12 12:43:20"
"1243","66","604","detail","2018-07-12 13:20:16"
"1244","44","1314","bed","2018-07-12 16:37:52"
"1245","44","1314","bed","2018-07-12 17:34:59"
"1246","44","1314","bed","2018-07-12 17:35:29"
"1247","87","1","localtity","2018-07-13 12:14:54"
"1248","87","1","detail","2018-07-13 12:15:28"
"1249","87","1","floor","2018-07-13 12:15:51"
"1250","87","1","room","2018-07-13 12:16:33"
"1251","87","1","bed","2018-07-13 12:17:12"
"1252","87","1","gallery","2018-07-13 12:17:58"
"1253","87","1","amenities","2018-07-13 12:18:34"
"1254","85","645","bed","2018-07-13 12:50:06"
"1255","85","645","floor","2018-07-13 13:45:03"
"1256","85","645","room","2018-07-13 13:57:22"
"1257","75","604","detail","2018-07-13 14:04:43"
"1258","85","645","bed","2018-07-13 14:53:32"
"1259","85","645","gallery","2018-07-13 14:53:47"
"1260","85","645","bed","2018-07-13 14:55:37"
"1261","85","645","bed","2018-07-13 14:57:21"
"1262","85","645","bed","2018-07-13 14:58:49"
"1263","66","872","detail","2018-07-13 16:21:38"
"1264","66","872","bed","2018-07-13 16:26:28"
"1265","66","872","bed","2018-07-13 16:40:11"
"1266","66","872","gallery","2018-07-13 16:40:40"
"1267","66","872","amenities","2018-07-13 16:41:31"
"1268","66","872","bed","2018-07-13 16:50:26"
"1269","66","872","gallery","2018-07-13 16:50:47"
"1270","66","872","amenities","2018-07-13 16:50:52"
"1271","22","651","bed","2018-07-13 19:20:18"
"1272","60","720","bed","2018-07-13 20:25:03"
"1273","60","720","gallery","2018-07-13 20:26:04"
"1274","60","720","bed","2018-07-13 20:32:13"
"1275","60","720","bed","2018-07-13 20:47:12"
"1276","60","720","bed","2018-07-13 20:51:14"
"1277","60","720","gallery","2018-07-13 20:51:42"
"1278","38","949","detail","2018-07-14 17:55:00"
"1279","40","949","detail","2018-07-14 17:55:24"
"1280","41","949","detail","2018-07-14 17:55:47"
"1281","13","949","detail","2018-07-14 17:58:13"
"1282","70","949","detail","2018-07-14 18:06:46"
"1283","18","949","detail","2018-07-14 18:07:03"
"1284","73","949","detail","2018-07-14 18:09:49"
"1285","47","949","detail","2018-07-14 18:53:31"
"1286","79","645","bed","2018-07-15 12:15:40"
"1287","36","604","detail","2018-07-15 14:11:12"
"1288","37","604","detail","2018-07-15 14:12:47"
"1289","32","604","detail","2018-07-15 14:13:46"
"1290","62","645","bed","2018-07-15 14:56:04"
"1291","62","645","bed","2018-07-15 14:59:02"
"1292","62","645","bed","2018-07-15 15:00:01"
"1293","62","645","bed","2018-07-15 15:03:11"
"1294","62","645","bed","2018-07-15 15:09:21"
"1295","85","604","detail","2018-07-15 15:43:37"
"1296","86","604","detail","2018-07-15 15:44:52"
"1297","60","720","bed","2018-07-15 16:26:48"
"1298","40","604","detail","2018-07-15 16:33:27"
"1299","41","604","detail","2018-07-15 16:33:58"
"1300","38","604","detail","2018-07-15 16:34:35"
"1301","70","604","detail","2018-07-15 16:35:00"
"1302","18","604","detail","2018-07-15 16:35:24"
"1303","73","604","detail","2018-07-15 16:36:02"
"1304","14","604","detail","2018-07-15 16:36:31"
"1305","14","604","gallery","2018-07-15 16:57:25"
"1306","13","604","gallery","2018-07-15 17:03:14"
