"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"93","11","512","81","360","751","pre-booking","","half-yearly","5000","500","5500","0","180000","185500","185500","0","2018-07-03","0"
"94","74","611","720","462","3326","instant-booking","","quarterly","","","0","0","162000","167500","167500","0","2018-06-19","0"
"95","72","611","720","974","2908","instant-booking","","quarterly","","","0","0","240000","240000","245500","5500","2018-06-19","1"
"96","74","611","720","462","3326","instant-booking","","quarterly","","","0","0","288000","288000","293500","5500","2018-06-19","1"
"97","22","651","792","984","1146","instant-booking","","monthly","","","8000","0","144000","24500","24500","0","2018-06-19","0"
"98","35","647","963","965","1637","instant-booking","","monthly","","","5750","0","69600","58050","70550","12500","2018-06-20","1"
"99","3","58","0","406","139","pre-booking","","half-yearly","","","0","0","204000","209500","209500","0","2018-06-20","0"
"100","3","58","0","411","142","pre-booking","","half-yearly","","","0","0","204000","209500","209500","0","2018-06-20","0"
"101","3","58","0","296","143","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","0"
"102","31","650","896","1006","1471","instant-booking","","monthly","","","0","0","96000","8000","10800","2800","2018-06-20","0"
"103","3","58","0","637","146","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","0"
"104","3","58","0","47","145","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","0"
"105","3","58","0","407","141","pre-booking","","half-yearly","","","0","0","204000","209500","209500","0","2018-06-20","0"
"106","31","650","896","1007","1477","instant-booking","","monthly","","","0","0","90000","7500","15500","8000","2018-06-20","0"
"107","3","58","0","403","147","pre-booking","","half-yearly","","","0","0","180000 ","185500","185500","0","2018-06-20","1"
"108","3","58","0","401","148","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","0"
"109","3","58","0","968","149","pre-booking","","half-yearly","","","0","0"," 192000","197500","197500","0","2018-06-20","0"
"110","3","58","0","383","150","pre-booking","","half-yearly","","","0","0"," 192000","197500","197500","0","2018-06-20","1"
"111","29","647","788","1009","1437","pre-booking","","monthly","","","0","0","69600","71600","71600","0","2018-06-20","1"
"112","3","58","0","926","154","instant-booking","","half-yearly","","","0","0"," 192000","197500","197500","0","2018-06-20","1"
"113","3","58","0","920","158","pre-booking","","half-yearly","","","0","0","204000","80500","209500","129000","2018-06-20","1"
"114","3","58","0","386","161","instant-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","1"
"115","3","58","0","388","162","instant-booking","","half-yearly","","","0","0","180000","185500","185500","0","20-06-2018 13:07:57","1"
"116","29","647","788","1010","1438","pre-booking","","monthly","","","0","0","69600","69600","73600","4000","2018-06-20","1"
"117","3","58","0","385","165","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","1"
