"id","property_id","attachment","cover","temp_id"
"551","68","18_placio_42.jpg","","0"
"552","68","4_placio_49.jpg","","0"
"553","68","80_placio_45.jpg","","0"
"554","68","24_placio_40.jpg","","0"
"557","68","63_placio_35-min.jpg","","0"
"558","68","88_placio_30-min.jpg","yes","0"
"560","68","77_jasmine.jpg","","0"
"561","66","66_Placio-36-min.jpg","","0"
"562","66","76_Placio-32-min.jpg","","0"
"563","66","8_Placio-37-min.jpg","","0"
"564","66","15_Placio-38-min.jpg","","0"
"565","66","16_Placio-39-min.jpg","","0"
"566","66","61_Placio-42-min.jpg","","0"
"567","66","84_Placio-44-min.jpg","","0"
"568","66","7_Placio-43-min.jpg","","0"
"569","66","97_Placio-40-min.jpg","","0"
"570","66","48_Placio-46-min.jpg","","0"
"571","66","34_Webp.net-compress-image.jpg","yes","0"
"572","57","65_placio_41.jpg","yes","0"
"573","57","80_placio_32.jpg","","0"
"575","57","12_placio_33.jpg","","0"
"577","57","97_placio_31.jpg","","0"
"578","57","63_placio_42.jpg","","0"
"579","57","63_placio_361..jpg","","0"
"580","57","68_placio_362.jpg","","0"
"581","44","56_placio_47.jpg","yes","0"
"582","44","69_placio_32.jpg","","0"
"583","44","40_placio_46.jpg","","0"
"584","44","35_placio_35.jpg","","0"
"586","44","27_placio_41.jpg","","0"
"587","44","55_placio_391.jpg","","0"
"588","44","32_placio_501.jpg","","0"
"589","82","9_placio_31.jpg","yes","0"
"590","82","0_placio_32.jpg","","0"
"591","82","17_placio_33.jpg","","0"
"594","82","80_placio_39.jpg","","0"
"595","82","4_placio_30.jpg","","0"
"596","82","81_placio_44.jpg","","0"
"598","82","12_placio_46.jpg","","0"
"599","82","61_placio_47.jpg","","0"
"602","82","35_placio_481.jpg","","0"
"603","82","76_placio_431.jpg","","0"
"604","64","57_placio_30.jpg","","0"
"605","64","36_placio_35.jpg","","0"
"606","64","11_placio_33.jpg","yes","0"
"608","64","51_placio_41.jpg","","0"
"609","64","57_placio_38.jpg","","0"
"613","64","1_placio_401.jpg","","0"
"614","64","35_placio_431.jpg","","0"
"615","64","93_placio_461.jpg","","0"
"616","28","36_IMG-20180119-WA0049.jpg","yes","0"
"617","28","81_IMG-20180119-WA0056.jpg","","0"
"618","28","76_img_7746.jpg","","0"
"619","28","80_img_7735.jpg","","0"
"620","28","30_img_7788.jpg","","0"
"621","28","46_img_7730.jpg","","0"
"622","53","62_Placio-34-min.jpg","","0"
"625","53","90_Placio-1-min.jpg","yes","0"
"627","69","52_Placio-38-min.jpg","","0"
"628","69","5_Placio-36-min.jpg","","0"
"629","69","91_Placio-34-min.jpg","yes","0"
"630","69","52_Placio-331.jpg","","0"
"631","69","68_Placio-33-min.jpg","","0"
"633","49","57_Placio-13.jpg","","0"
"634","49","18_Placio-11.jpg","","0"
"635","49","24_Placio-7.jpg","yes","0"
"636","49","26_Placio-12.jpg","","0"
"637","49","65_Placio-17.jpg","","0"
"638","49","30_Placio-6.jpg","","0"
"639","22","1_Placio-6.jpg","","0"
"640","22","12_Placio-5.jpg","","0"
"641","22","83_Placio-9.jpg","","0"
"642","22","26_Placio-7.jpg","","0"
"643","22","32_Placio-8.jpg","","0"
"644","22","31_Placio-2.jpg","yes","0"
"645","22","52_Placio-10.jpg","","0"
"646","43","15_Placio-5.jpg","","0"
"647","43","75_Placio-3.jpg","","0"
"648","43","68_Placio-2.jpg","yes","0"
"649","43","43_Placio-4.jpg","","0"
"650","43","6_Webp.net-compress-image_(1).jpg","","0"
"651","54","37_Placio-5.jpg","yes","0"
"652","54","3_Placio-6.jpg","","0"
"653","54","71_Placio-10.jpg","","0"
"654","54","35_Webp.net-compress-image_(2).jpg","","0"
"655","59","17_Placio-4.jpg","","0"
"656","59","71_Placio-1.jpg","","0"
"657","59","72_Placio-2.jpg","yes","0"
"658","59","88_Placio-5.jpg","","0"
"659","50","10_Placio-8.jpg","","0"
"660","50","80_Placio-9.jpg","yes","0"
"661","50","1_Placio-10.jpg","","0"
"662","50","27_Placio-5.jpg","","0"
"663","37","57_DSCN5177.JPG","","0"
"664","37","63_DSCN5178.JPG","yes","0"
"665","37","86_DSCN5180.JPG","","0"
"666","37","64_DSCN5182.JPG","","0"
"667","37","76_DSCN5179.JPG","","0"
"668","37","34_DSCN5181.JPG","","0"
"669","32","36_WhatsApp_Image_2018-07-10_at_7.21.21_PM.jpeg","","0"
"670","32","56_WhatsApp_Image_2018-07-10_at_7.21.22_PM.jpeg","yes","0"
"671","32","50_WhatsApp_Image_2018-07-10_at_7.21.24_PM_(1).jpeg","","0"
"672","32","64_WhatsApp_Image_2018-07-10_at_7.21.24_PM.jpeg","","0"
"673","49","71_Placio-8.jpg","","0"
"674","49","95_Placio-1.jpg","","0"
"676","14","94_Placio-2.jpg","","0"
"677","14","42_Placio-16.jpg","","0"
"678","14","30_Placio-3.jpg","","0"
"679","14","56_Placio-4.jpg","","0"
"680","14","92_Placio-5.jpg","yes","0"
"681","14","27_Placio-19.jpg","","0"
"682","13","79_Placio-8.jpg","","0"
"683","13","67_Placio-15.jpg","","0"
"684","13","86_Placio-10.jpg","yes","0"
"685","13","24_Placio-18.jpg","","0"
"686","13","85_Placio-17.jpg","","0"
"687","13","27_Placio-7.jpg","","0"
"688","13","79_Placio-4.jpg","","0"
"689","13","91_Placio-19.jpg","","0"
"690","13","23_Placio-120.jpg","","0"
"691","13","22_Placio-119.jpg","","0"
"692","13","76_Placio-111.jpg","","0"
